"desti_country","any","has_migrated_True","TOTAL","has_phd_True"
"ET",2000,8,27,12
"ET",2001,7,39,16
"ET",2002,8,40,10
"ET",2003,5,40,9
"ET",2004,6,46,7
"ET",2005,8,55,8
"ET",2006,7,73,5
"ET",2007,16,82,20
"ET",2008,9,96,16
"ET",2009,13,115,25
"ET",2010,4,97,10
"ET",2011,4,78,15
"ET",2012,3,73,18
"ET",2013,1,51,6
"ET",2014,0,24,5
"ET",2015,0,28,9
"ET",2016,0,8,0
"FI",1972,1,5,3
"FI",1973,0,10,3
"FI",1974,2,10,8
"FI",1975,4,7,3
"FI",1976,3,7,4
"FI",1977,2,17,12
"FI",1978,4,15,11
"FI",1979,8,18,11
"FI",1980,4,14,9
"FI",1981,2,14,11
"FI",1982,5,21,17
"FI",1983,1,15,11
"FI",1984,4,18,11
"FI",1985,2,17,13
"FI",1986,2,16,10
"FI",1987,9,30,23
"FI",1988,6,29,22
"FI",1989,4,29,20
"FI",1990,9,38,27
"FI",1991,5,34,26
"FI",1992,13,49,31
"FI",1993,16,47,38
"FI",1994,12,52,33
"FI",1995,11,47,35
"FI",1996,12,59,38
"FI",1997,12,69,49
"FI",1998,23,87,70
"FI",1999,26,95,69
"FI",2000,28,109,71
"FI",2001,24,101,71
"FI",2002,18,107,72
"FI",2003,39,132,93
"FI",2004,38,131,97
"FI",2005,39,135,95
"FI",2006,29,139,77
"FI",2007,30,151,104
"FI",2008,20,150,107
"FI",2009,21,158,104
"FI",2010,12,148,90
"FI",2011,6,141,97
"FI",2012,5,114,66
"FI",2013,4,107,60
"FI",2014,2,115,62
"FI",2015,0,101,51
"FI",2016,0,55,18
"FI",2017,0,1,1
"FJ",1978,1,1,1
"FJ",1986,1,1,0
"FJ",1991,2,2,1
"FJ",1992,1,1,1
"FJ",1994,0,1,1
"FJ",1995,1,1,0
"FJ",1996,1,2,1
"FJ",1997,1,1,0
"FJ",1998,1,2,0
"FJ",2000,0,1,0
"FJ",2002,0,2,0
"FJ",2003,2,4,1
"FJ",2004,0,1,0
"FJ",2005,2,2,1
"FJ",2006,1,3,1
"FJ",2007,0,2,1
"FJ",2008,0,1,0
"FJ",2009,2,5,1
"FJ",2010,0,4,2
"FJ",2011,1,5,2
"FJ",2013,0,1,0
"FJ",2014,0,1,0
"FJ",2015,0,1,0
"FJ",2016,0,1,1
"FK",2004,1,1,1
"FO",1997,1,1,1
"FO",1999,1,1,0
"FO",2003,1,1,1
"FO",2006,1,1,0
"FO",2008,0,1,0
"FO",2009,1,2,2
"FO",2011,1,2,2
"FO",2012,0,1,0
"FR",1972,10,35,19
"FR",1973,5,27,15
"FR",1974,12,44,21
"FR",1975,11,61,27
"FR",1976,10,49,26
"FR",1977,21,63,34
"FR",1978,16,56,34
"FR",1979,20,82,57
"FR",1980,16,90,61
"FR",1981,20,100,61
"FR",1982,25,105,68
"FR",1983,24,113,76
"FR",1984,27,119,72
"FR",1985,22,127,83
"FR",1986,26,136,90
"FR",1987,24,129,92
"FR",1988,30,158,106
"FR",1989,39,194,144
"FR",1990,31,206,131
"FR",1991,52,216,143
"FR",1992,39,209,122
"FR",1993,35,208,112
"FR",1994,51,210,134
"FR",1995,66,249,149
"FR",1996,66,275,177
"FR",1997,76,275,190
"FR",1998,101,333,222
"FR",1999,97,347,241
"FR",2000,97,357,225
"FR",2001,135,397,258
"FR",2002,114,379,254
"FR",2003,139,408,276
"FR",2004,135,441,273
"FR",2005,142,440,276
"FR",2006,108,491,300
"FR",2007,110,469,275
"FR",2008,93,471,281
"FR",2009,62,473,270
"FR",2010,55,483,244
"FR",2011,35,446,231
"FR",2012,22,443,212
"FR",2013,10,368,145
"FR",2014,13,322,121
"FR",2015,1,221,68
"FR",2016,1,128,19
"FR",2017,0,2,0
"GA",2000,1,1,1
"GA",2002,1,1,1
"GA",2003,1,2,1
"GA",2008,0,1,0
"GA",2009,0,1,0
"GA",2010,0,1,0
"GA",2011,0,1,0
"GA",2012,0,1,0
"GA",2014,0,2,1
"GA",2015,0,1,0
"GB",1972,32,167,99
"GB",1973,27,188,117
"GB",1974,37,199,124
"GB",1975,37,217,133
"GB",1976,39,237,157
"GB",1977,49,221,138
"GB",1978,68,254,179
"GB",1979,60,313,208
"GB",1980,79,322,221
"GB",1981,65,319,238
"GB",1982,80,373,256
"GB",1983,85,347,239
"GB",1984,78,385,268
"GB",1985,86,371,259
"GB",1986,102,433,325
"GB",1987,123,451,323
"GB",1988,113,427,300
"GB",1989,132,564,408
"GB",1990,183,611,438
"GB",1991,159,598,438
"GB",1992,192,644,449
"GB",1993,213,665,475
"GB",1994,241,753,554
"GB",1995,236,824,562
"GB",1996,240,820,573
"GB",1997,287,883,662
"GB",1998,335,994,702
"GB",1999,372,1045,776
"GB",2000,421,1272,914
"GB",2001,412,1269,909
"GB",2002,420,1261,901
"GB",2003,400,1307,949
"GB",2004,449,1488,1035
"GB",2005,400,1573,1099
"GB",2006,415,1636,1130
"GB",2007,358,1763,1221
"GB",2008,334,1785,1210
"GB",2009,265,1847,1171
"GB",2010,175,1921,1193
"GB",2011,90,1687,912
"GB",2012,73,1565,712
"GB",2013,56,1380,501
"GB",2014,58,1118,407
"GB",2015,18,1085,331
"GB",2016,6,639,166
"GB",2017,0,3,0
"GD",1987,2,2,1
"GD",1999,2,2,1
"GD",2002,0,2,0
"GD",2007,2,3,0
"GD",2008,0,1,0
"GD",2009,0,1,1
"GD",2010,0,2,0
"GD",2011,0,3,0
"GD",2012,0,3,0
"GD",2014,0,1,0
"GD",2016,0,1,0
"GE",1972,1,3,1
"GE",1973,0,4,0
"GE",1974,1,6,3
"GE",1975,0,4,3
"GE",1977,0,1,0
"GE",1978,0,2,2
"GE",1980,1,1,0
"GE",1981,0,1,1
"GE",1982,0,2,1
"GE",1983,1,1,1
"GE",1984,1,3,0
"GE",1985,1,5,3
"GE",1986,0,3,1
"GE",1987,1,3,1
"GE",1988,0,3,1
"GE",1989,0,1,1
"GE",1990,1,3,1
"GE",1991,0,3,2
"GE",1992,1,2,1
"GE",1993,1,3,3
"GE",1994,0,4,2
"GE",1995,1,3,3
"GE",1996,0,1,1
"GE",1997,1,2,2
"GE",1998,0,2,2
"GE",1999,0,1,0
"GE",2000,0,2,0
"GE",2001,0,3,3
"GE",2002,0,1,0
"GE",2003,0,2,0
"GE",2004,0,2,2
"GE",2005,0,5,3
"GE",2006,0,4,2
"GE",2007,0,1,1
"GE",2008,0,7,3
"GE",2009,0,1,0
"GE",2010,0,1,0
"GE",2011,1,4,1
"GE",2012,0,1,1
"GE",2013,0,4,1
"GE",2014,0,1,1
"GE",2015,0,3,1
"GE",2016,0,1,1
"GF",1990,1,1,1
"GF",1993,0,1,0
"GF",2004,0,1,0
"GF",2006,1,3,1
"GF",2007,1,1,1
"GF",2009,0,1,1
"GF",2010,1,1,0
"GF",2012,0,1,0
"GF",2013,0,1,0
"GF",2016,0,1,0
"GH",1974,2,2,0
"GH",1975,3,5,3
"GH",1976,0,1,0
"GH",1977,3,3,2
"GH",1979,2,2,2
"GH",1980,4,4,2
"GH",1982,3,4,3
"GH",1984,2,4,3
"GH",1985,1,2,1
"GH",1986,5,6,5
"GH",1987,1,3,1
"GH",1988,2,2,2
"GH",1989,4,7,3
"GH",1990,2,7,2
"GH",1991,4,6,2
"GH",1992,3,5,5
"GH",1993,5,11,7
"GH",1994,5,7,5
"GH",1995,5,7,6
"GH",1996,2,7,3
"GH",1997,6,14,7
"GH",1998,11,28,16
"GH",1999,4,18,11
"GH",2000,8,20,9
"GH",2001,9,35,11
"GH",2002,9,33,12
"GH",2003,9,35,12
"GH",2004,6,38,9
"GH",2005,10,52,14
"GH",2006,7,67,14
"GH",2007,17,73,16
"GH",2008,4,39,11
"GH",2009,11,69,21
"GH",2010,6,81,16
"GH",2011,7,68,14
"GH",2012,1,44,9
"GH",2013,0,37,8
"GH",2014,2,31,7
"GH",2015,0,26,7
"GH",2016,0,6,2
"GI",1999,0,1,0
"GL",1988,1,1,1
"GL",1994,1,1,1
"GL",2001,1,1,0
"GL",2003,1,1,0
"GL",2009,0,1,1
"GL",2010,0,1,0
"GM",1976,1,1,1
"GM",1990,0,1,0
"GM",1992,1,1,1
"GM",1994,0,1,0
"GM",1998,1,1,0
"GM",2000,2,2,0
"GM",2001,2,2,1
"GM",2002,1,1,1
"GM",2004,0,1,0
"GM",2005,1,1,0
"GM",2006,1,1,0
"GM",2007,1,3,0
"GM",2008,0,1,0
"GM",2009,0,2,0
"GM",2010,1,1,0
"GM",2011,0,2,0
"GM",2012,0,4,0
"GM",2013,0,1,0
"GM",2014,1,1,1
"GN",1987,0,1,0
"GN",1991,0,1,0
"GN",1996,0,1,0
"GN",1997,0,1,0
"GN",2000,1,1,1
"GN",2003,0,1,1
"GN",2004,0,1,0
"GN",2005,0,1,1
"GN",2007,0,1,0
"GN",2008,0,1,1
"GN",2013,0,1,0
"GP",1980,0,1,0
"GP",1991,1,1,1
"GP",1994,0,1,0
"GP",1997,0,1,0
"GP",1999,1,1,1
"GP",2005,1,1,1
"GP",2006,0,1,0
"GP",2008,0,1,0
"GP",2009,0,1,1
"GP",2014,0,2,0
"GR",1972,4,12,9
"GR",1973,9,14,9
"GR",1974,7,15,9
"GR",1975,1,10,6
"GR",1976,5,13,9
"GR",1977,7,15,9
"GR",1978,14,30,24
"GR",1979,15,23,18
"GR",1980,5,16,10
"GR",1981,10,28,19
"GR",1982,11,23,17
"GR",1983,10,25,17
"GR",1984,14,31,23
"GR",1985,10,31,27
"GR",1986,13,31,24
"GR",1987,12,35,24
"GR",1988,9,24,19
"GR",1989,16,47,34
"GR",1990,13,42,28
"GR",1991,13,39,31
"GR",1992,12,54,39
"GR",1993,25,59,48
"GR",1994,18,56,44
"GR",1995,9,58,43
"GR",1996,20,69,48
"GR",1997,16,56,42
"GR",1998,19,68,48
"GR",1999,20,79,57
"GR",2000,8,65,34
"GR",2001,12,88,53
"GR",2002,11,84,50
"GR",2003,11,72,34
"GR",2004,3,65,32
"GR",2005,8,69,29
"GR",2006,6,66,30
"GR",2007,9,75,33
"GR",2008,4,65,27
"GR",2009,4,77,24
"GR",2010,1,92,26
"GR",2011,4,44,21
"GR",2012,1,46,12
"GR",2013,1,41,20
"GR",2014,1,45,14
"GR",2015,0,31,14
"GR",2016,0,19,6
"GT",1972,0,1,0
"GT",1973,1,1,0
"GT",1975,0,1,0
"GT",1978,1,1,1
"GT",1980,2,3,1
"GT",1983,2,2,0
"GT",1986,1,2,0
"GT",1987,0,2,0
"GT",1989,1,2,1
"GT",1991,0,2,0
"GT",1993,2,4,0
"GT",1994,1,2,1
"GT",1995,1,2,1
"GT",1996,0,1,0
"GT",1997,3,5,2
"GT",1998,4,6,1
"GT",2000,2,3,2
"GT",2001,0,3,0
"GT",2002,0,2,0
"GT",2003,1,4,2
"GT",2004,1,2,0
"GT",2005,0,2,1
"GT",2006,0,3,0
"GT",2007,0,1,0
"GT",2008,1,7,2
"GT",2009,2,9,1
"GT",2010,2,12,1
"GT",2011,0,1,0
"GT",2012,0,2,0
"GT",2013,0,2,0
"GT",2014,0,3,1
"GT",2015,0,3,0
"GT",2016,0,1,0
"GU",1980,1,1,1
"GU",1983,1,1,0
"GU",1988,1,1,1
"GU",1990,1,1,1
"GU",2003,1,1,1
"GU",2004,1,1,0
"GU",2005,0,1,0
"GU",2006,0,1,0
"GU",2007,0,1,0
"GW",1999,1,1,1
"GY",1988,1,1,1
"GY",1989,1,1,1
"GY",1994,1,1,1
"GY",1999,1,1,0
"GY",2008,0,1,1
"GY",2011,1,1,0
"GY",2013,0,2,0
"HK",1972,2,2,2
"HK",1973,2,2,2
"HK",1974,1,1,1
"HK",1976,1,1,1
"HK",1977,5,6,4
"HK",1978,7,8,4
"HK",1979,6,8,6
"HK",1980,6,6,5
"HK",1981,6,8,5
"HK",1982,2,2,2
"HK",1983,7,9,8
"HK",1984,7,12,10
"HK",1985,3,5,3
"HK",1986,7,11,6
"HK",1987,3,5,3
"HK",1988,4,14,12
"HK",1989,5,10,7
"HK",1990,4,10,5
"HK",1991,6,14,8
"HK",1992,11,12,8
"HK",1993,11,21,11
"HK",1994,12,22,15
"HK",1995,5,16,10
"HK",1996,13,23,14
"HK",1997,5,16,9
"HK",1998,19,35,25
"HK",1999,15,32,22
"HK",2000,17,32,21
"HK",2001,21,33,28
"HK",2002,14,29,22
"HK",2003,27,44,36
"HK",2004,36,53,37
"HK",2005,40,69,49
"HK",2006,40,74,57
"HK",2007,31,62,42
"HK",2008,43,79,57
"HK",2009,23,75,50
"HK",2010,9,61,40
"HK",2011,11,76,40
"HK",2012,8,89,39
"HK",2013,8,68,35
"HK",2014,2,56,24
"HK",2015,1,49,21
"HK",2016,1,34,9
"HN",1976,1,1,1
"HN",1977,0,1,0
"HN",1979,2,2,1
"HN",1980,0,1,0
"HN",1984,0,1,0
"HN",1987,1,3,1
"HN",1988,0,1,0
"HN",1991,1,1,0
"HN",1992,1,2,1
"HN",1993,0,2,0
"HN",1994,1,2,0
"HN",1995,0,1,0
"HN",1996,3,3,1
"HN",1997,1,1,0
"HN",1998,1,1,0
"HN",2002,1,1,0
"HN",2003,1,3,1
"HN",2004,0,3,0
"HN",2005,0,3,0
"HN",2007,1,6,1
"HN",2008,0,1,0
"HN",2009,0,2,0
"HN",2010,0,3,0
"HN",2011,1,4,1
"HN",2012,0,3,0
"HN",2013,0,2,0
"HN",2014,0,1,0
"HN",2015,0,2,0
"HN",2016,0,1,0
"HR",1972,0,1,0
"HR",1973,0,2,0
"HR",1974,0,1,0
"HR",1975,2,7,3
"HR",1976,0,5,3
"HR",1977,0,3,0
"HR",1978,0,3,1
"HR",1979,1,6,4
"HR",1980,0,1,0
"HR",1981,2,6,3
"HR",1982,2,8,3
"HR",1983,1,6,4
"HR",1984,1,7,4
"HR",1985,0,8,5
"HR",1986,1,9,4
"HR",1987,0,5,2
"HR",1988,0,9,5
"HR",1989,2,9,6
"HR",1990,0,6,4
"HR",1991,2,13,9
"HR",1992,0,9,6
"HR",1993,2,12,9
"HR",1994,0,10,4
"HR",1995,0,16,9
"HR",1996,2,15,10
"HR",1997,1,12,5
"HR",1998,7,29,18
"HR",1999,3,16,11
"HR",2000,3,23,15
"HR",2001,0,29,14
"HR",2002,2,25,17
"HR",2003,3,28,16
"HR",2004,2,40,30
"HR",2005,2,40,18
"HR",2006,2,32,14
"HR",2007,0,31,17
"HR",2008,1,51,25
"HR",2009,0,54,25
"HR",2010,0,22,12
"HR",2011,0,25,2
"HR",2012,0,23,6
"HR",2013,0,20,4
"HR",2014,0,20,5
"HR",2015,0,17,4
"HR",2016,0,12,1
"HT",1974,1,2,1
"HT",1976,0,1,0
"HT",1977,1,1,1
"HT",1988,0,1,0
"HT",1999,1,1,0
"HT",2000,0,1,0
"HT",2001,1,1,0
"HT",2008,0,1,0
"HT",2009,1,1,0
"HT",2011,0,2,1
"HT",2012,0,1,0
"HT",2013,0,1,0
"HU",1972,2,12,9
"HU",1973,1,22,10
"HU",1974,2,20,10
"HU",1975,2,26,5
"HU",1976,0,18,6
"HU",1977,1,9,3
"HU",1978,3,35,19
"HU",1979,2,22,7
"HU",1980,3,25,8
"HU",1981,6,27,17
"HU",1982,3,22,10
"HU",1983,5,26,15
"HU",1984,1,14,7
"HU",1985,3,18,11
"HU",1986,2,20,8
"HU",1987,3,33,16
"HU",1988,2,26,14
"HU",1989,2,31,18
"HU",1990,6,29,20
"HU",1991,7,41,20
"HU",1992,8,39,25
"HU",1993,5,38,19
"HU",1994,3,39,23
"HU",1995,6,36,20
"HU",1996,3,41,29
"HU",1997,7,45,26
"HU",1998,9,51,28
"HU",1999,6,46,29
"HU",2000,8,47,32
"HU",2001,5,75,37
"HU",2002,7,60,35
"HU",2003,8,63,35
"HU",2004,5,68,27
"HU",2005,5,68,39
"HU",2006,7,72,36
"HU",2007,10,71,40
"HU",2008,9,81,40
"HU",2009,2,75,32
"HU",2010,2,61,31
"HU",2011,0,39,16
"HU",2012,2,57,21
"HU",2013,0,53,17
"HU",2014,2,55,18
"HU",2015,0,42,11
"HU",2016,0,17,7
"ID",1972,0,3,1
"ID",1973,1,3,2
"ID",1974,3,7,4
"ID",1975,5,7,5
"ID",1976,8,13,7
"ID",1977,3,4,3
"ID",1978,5,17,9
"ID",1979,15,29,17
"ID",1980,16,27,19
"ID",1981,12,32,15
"ID",1982,12,28,11
"ID",1983,14,34,19
"ID",1984,17,41,22
"ID",1985,20,46,25
"ID",1986,29,75,36
"ID",1987,33,98,42
"ID",1988,37,83,40
"ID",1989,33,74,37
"ID",1990,36,95,39
"ID",1991,44,107,47
"ID",1992,42,109,56
"ID",1993,49,124,45
"ID",1994,38,111,48
"ID",1995,44,124,38
"ID",1996,29,103,41
"ID",1997,45,137,54
"ID",1998,53,181,62
"ID",1999,57,205,63
"ID",2000,59,205,49
"ID",2001,31,178,43
"ID",2002,34,183,36
"ID",2003,29,182,33
"ID",2004,17,158,19
"ID",2005,44,280,50
"ID",2006,35,259,46
"ID",2007,20,220,31
"ID",2008,25,305,36
"ID",2009,19,280,40
"ID",2010,7,262,29
"ID",2011,4,293,27
"ID",2012,3,278,21
"ID",2013,2,220,10
"ID",2014,0,179,7
"ID",2015,1,136,13
"ID",2016,0,139,17
"ID",2017,0,2,1
"IE",1972,7,7,5
"IE",1973,5,10,5
"IE",1974,7,8,6
"IE",1975,5,6,5
"IE",1976,9,14,10
"IE",1977,11,14,7
"IE",1978,5,9,9
"IE",1979,11,23,17
"IE",1980,12,21,12
"IE",1981,8,18,13
"IE",1982,13,23,16
"IE",1983,4,10,10
"IE",1984,4,15,10
"IE",1985,9,12,9
"IE",1986,16,30,23
"IE",1987,17,38,23
"IE",1988,26,44,32
"IE",1989,18,37,29
"IE",1990,27,48,33
"IE",1991,26,44,37
"IE",1992,14,33,23
"IE",1993,24,47,38
"IE",1994,21,49,40
"IE",1995,27,51,39
"IE",1996,35,69,52
"IE",1997,25,63,47
"IE",1998,31,69,49
"IE",1999,37,70,50
"IE",2000,28,76,54
"IE",2001,29,71,51
"IE",2002,31,79,65
"IE",2003,34,90,64
"IE",2004,40,102,81
"IE",2005,34,111,82
"IE",2006,27,114,88
"IE",2007,32,125,88
"IE",2008,21,132,80
"IE",2009,20,120,70
"IE",2010,12,143,78
"IE",2011,11,155,66
"IE",2012,12,139,43
"IE",2013,5,104,37
"IE",2014,5,73,30
"IE",2015,0,71,16
"IE",2016,2,31,14
"IE",2017,0,1,0
"IL",1972,7,10,6
"IL",1973,5,14,9
"IL",1974,5,14,8
"IL",1975,10,11,7
"IL",1976,9,19,10
"IL",1977,8,16,6
"IL",1978,1,11,2
"IL",1979,3,9,6
"IL",1980,7,17,9
"IL",1981,10,17,9
"IL",1982,6,18,12
"IL",1983,9,19,12
"IL",1984,7,18,11
"IL",1985,10,21,14
"IL",1986,3,12,10
"IL",1987,2,13,8
"IL",1988,7,15,9
"IL",1989,6,19,12
"IL",1990,11,27,15
"IL",1991,6,20,12
"IL",1992,10,27,14
"IL",1993,11,25,19
"IL",1994,7,28,20
"IL",1995,11,30,20
"IL",1996,11,31,21
"IL",1997,12,27,16
"IL",1998,15,37,29
"IL",1999,10,38,27
"IL",2000,18,56,37
"IL",2001,20,50,36
"IL",2002,19,45,30
"IL",2003,16,43,30
"IL",2004,23,51,35
"IL",2005,14,46,32
"IL",2006,20,71,50
"IL",2007,15,66,40
"IL",2008,15,65,38
"IL",2009,11,62,29
"IL",2010,7,62,35
"IL",2011,6,42,19
"IL",2012,1,48,22
"IL",2013,2,45,17
"IL",2014,0,25,6
"IL",2015,0,23,5
"IL",2016,0,4,1
"IM",1985,1,1,0
"IM",1999,1,1,0
"IM",2012,0,1,0
"IM",2013,0,1,0
"IM",2014,1,2,0
"IN",1972,7,51,22
"IN",1973,4,65,30
"IN",1974,8,69,32
"IN",1975,10,87,43
"IN",1976,7,82,40
"IN",1977,11,86,45
"IN",1978,8,101,56
"IN",1979,10,110,61
"IN",1980,4,126,68
"IN",1981,10,167,86
"IN",1982,18,179,95
"IN",1983,14,185,105
"IN",1984,17,209,118
"IN",1985,17,222,114
"IN",1986,23,244,141
"IN",1987,22,243,124
"IN",1988,20,257,138
"IN",1989,27,300,157
"IN",1990,31,329,174
"IN",1991,26,326,172
"IN",1992,26,357,195
"IN",1993,36,413,212
"IN",1994,45,485,241
"IN",1995,51,549,282
"IN",1996,61,611,343
"IN",1997,68,629,329
"IN",1998,60,704,333
"IN",1999,66,788,379
"IN",2000,67,845,422
"IN",2001,82,983,455
"IN",2002,72,1098,537
"IN",2003,80,1221,616
"IN",2004,78,1380,639
"IN",2005,53,1478,646
"IN",2006,42,1731,743
"IN",2007,48,1840,756
"IN",2008,38,1882,762
"IN",2009,23,2041,803
"IN",2010,21,2075,782
"IN",2011,15,2113,781
"IN",2012,13,2334,769
"IN",2013,10,2170,698
"IN",2014,9,1644,516
"IN",2015,1,879,297
"IN",2016,0,383,124
"IN",2017,0,1,0
"IO",2006,0,1,0
"IO",2008,0,1,0
"IO",2014,0,1,0
"IQ",1972,1,3,1
"IQ",1973,0,2,0
"IQ",1974,0,2,1
"IQ",1975,4,5,3
"IQ",1976,1,4,3
"IQ",1977,3,5,5
"IQ",1978,1,7,6
"IQ",1979,3,10,5
"IQ",1980,1,8,2
"IQ",1981,3,13,7
"IQ",1982,3,15,7
"IQ",1983,3,10,6
"IQ",1984,1,8,4
"IQ",1985,1,7,2
"IQ",1986,3,7,5
"IQ",1987,2,7,3
"IQ",1988,4,15,10
"IQ",1989,0,9,5
"IQ",1990,3,15,7
"IQ",1991,3,9,7
"IQ",1992,5,26,17
"IQ",1993,3,23,12
"IQ",1994,2,23,14
"IQ",1995,2,17,10
"IQ",1996,9,25,18
"IQ",1997,8,27,18
"IQ",1998,11,37,13
"IQ",1999,7,35,17
"IQ",2000,14,46,23
"IQ",2001,9,44,20
"IQ",2002,8,51,22
"IQ",2003,8,59,16
"IQ",2004,12,56,22
"IQ",2005,10,68,40
"IQ",2006,15,78,36
"IQ",2007,11,43,14
"IQ",2008,8,49,19
"IQ",2009,7,36,15
"IQ",2010,5,35,9
"IQ",2011,6,40,6
"IQ",2012,1,45,13
"IQ",2013,0,32,4
"IQ",2014,0,26,10
"IQ",2015,0,39,7
"IQ",2016,0,66,26
"IR",1972,1,5,2
"IR",1973,7,12,8
"IR",1974,5,16,4
"IR",1975,10,19,13
"IR",1976,5,13,4
"IR",1977,7,14,7
"IR",1978,15,22,19
"IR",1979,6,13,8
"IR",1980,5,23,13
"IR",1981,3,13,9
"IR",1982,7,18,12
"IR",1983,14,39,21
"IR",1984,21,65,38
"IR",1985,20,50,28
"IR",1986,19,59,33
"IR",1987,20,75,46
"IR",1988,15,77,38
"IR",1989,24,91,50
"IR",1990,36,125,83
"IR",1991,21,116,67
"IR",1992,38,145,94
"IR",1993,32,133,84
"IR",1994,26,165,98
"IR",1995,22,163,101
"IR",1996,22,144,84
"IR",1997,24,153,85
"IR",1998,25,212,128
"IR",1999,13,201,114
"IR",2000,21,282,153
"IR",2001,8,244,135
"IR",2002,17,237,149
"IR",2003,22,310,169
"IR",2004,26,314,167
"IR",2005,25,382,170
"IR",2006,15,404,155
"IR",2007,22,432,146
"IR",2008,22,529,213
"IR",2009,14,508,192
"IR",2010,15,558,216
"IR",2011,7,627,194
"IR",2012,3,646,261
"IR",2013,4,502,153
"IR",2014,2,461,152
"IR",2015,1,224,77
"IR",2016,0,182,69
"IR",2017,0,4,0
"IS",1972,2,2,2
"IS",1973,1,2,1
"IS",1974,3,3,3
"IS",1975,3,4,3
"IS",1976,3,3,0
"IS",1977,4,4,4
"IS",1978,1,2,0
"IS",1980,3,3,0
"IS",1981,1,1,1
"IS",1982,1,1,1
"IS",1983,2,2,1
"IS",1985,3,4,1
"IS",1986,1,1,1
"IS",1987,2,2,2
"IS",1989,2,3,2
"IS",1990,4,4,4
"IS",1991,4,6,3
"IS",1992,1,2,1
"IS",1993,2,3,1
"IS",1994,4,4,4
"IS",1995,6,10,8
"IS",1996,3,4,3
"IS",1997,4,6,6
"IS",1998,4,6,3
"IS",1999,2,4,3
"IS",2000,3,4,4
"IS",2001,2,4,2
"IS",2002,4,8,4
"IS",2003,3,9,5
"IS",2004,7,9,6
"IS",2005,1,5,4
"IS",2006,4,12,8
"IS",2007,4,10,7
"IS",2008,1,3,1
"IS",2009,5,10,5
"IS",2010,1,2,0
"IS",2011,0,6,3
"IS",2012,2,9,4
"IS",2013,1,9,2
"IS",2014,0,3,1
"IS",2015,0,3,1
"IS",2016,0,3,2
"IT",1972,16,137,22
"IT",1973,10,141,20
"IT",1974,22,168,30
"IT",1975,23,182,44
"IT",1976,14,173,36
"IT",1977,22,182,63
"IT",1978,31,237,71
"IT",1979,33,231,76
"IT",1980,30,254,76
"IT",1981,27,233,68
"IT",1982,44,309,104
"IT",1983,44,308,114
"IT",1984,53,314,146
"IT",1985,52,305,133
"IT",1986,46,322,138
"IT",1987,45,330,139
"IT",1988,48,355,150
"IT",1989,53,377,190
"IT",1990,54,451,197
"IT",1991,53,382,195
"IT",1992,68,494,240
"IT",1993,52,452,269
"IT",1994,77,507,278
"IT",1995,55,467,262
"IT",1996,59,508,318
"IT",1997,53,496,292
"IT",1998,73,615,359
"IT",1999,75,659,373
"IT",2000,67,784,374
"IT",2001,92,915,421
"IT",2002,76,755,387
"IT",2003,84,680,401
"IT",2004,76,755,405
"IT",2005,89,914,423
"IT",2006,64,943,505
"IT",2007,54,844,440
"IT",2008,65,881,420
"IT",2009,55,804,394
"IT",2010,31,807,367
"IT",2011,31,832,378
"IT",2012,18,770,348
"IT",2013,14,652,308
"IT",2014,11,671,290
"IT",2015,4,587,159
"IT",2016,1,224,54
"IT",2017,0,1,1
"JE",1983,1,1,0
"JM",1978,0,1,0
"JM",1983,1,1,1
"JM",1984,0,1,0
"JM",1985,1,1,1
"JM",1987,0,2,0
"JM",1988,1,2,1
"JM",1989,1,2,0
"JM",1991,3,6,3
"JM",1993,0,1,1
"JM",1994,1,1,0
"JM",1995,0,1,0
"JM",1996,0,1,0
"JM",1997,2,2,2
"JM",1998,2,2,1
"JM",1999,0,2,2
"JM",2000,0,2,1
"JM",2001,1,3,2
"JM",2002,0,1,0
"JM",2003,1,3,1
"JM",2004,0,2,0
"JM",2005,1,4,3
"JM",2006,0,1,1
"JM",2007,1,2,1
"JM",2009,0,3,1
"JM",2010,0,1,0
"JM",2011,0,2,0
"JM",2012,1,2,0
"JM",2014,0,1,1
"JO",1972,1,2,1
"JO",1973,2,2,2
"JO",1974,5,5,5
"JO",1975,3,3,2
"JO",1976,3,4,3
"JO",1977,4,5,2
"JO",1978,6,7,3
"JO",1979,4,6,4
"JO",1980,6,7,3
"JO",1981,3,6,5
"JO",1982,8,9,7
"JO",1983,5,9,7
"JO",1984,5,8,5
"JO",1985,5,5,3
"JO",1986,10,10,8
"JO",1987,6,8,7
"JO",1988,13,14,10
"JO",1989,8,10,7
"JO",1990,12,15,6
"JO",1991,18,22,21
"JO",1992,9,16,10
"JO",1993,11,13,10
"JO",1994,13,16,13
"JO",1995,12,16,8
"JO",1996,10,14,12
"JO",1997,10,19,10
"JO",1998,18,29,20
"JO",1999,16,25,16
"JO",2000,14,16,15
"JO",2001,19,24,19
"JO",2002,20,35,19
"JO",2003,12,31,17
"JO",2004,15,31,13
"JO",2005,14,35,21
"JO",2006,23,49,28
"JO",2007,19,37,25
"JO",2008,8,28,9
"JO",2009,8,30,12
"JO",2010,4,24,8
"JO",2011,9,37,14
"JO",2012,0,22,5
"JO",2013,0,29,5
"JO",2014,1,13,3
"JO",2015,0,11,4
"JO",2016,0,6,2
"JO",2017,0,1,0
"JP",1972,6,45,25
"JP",1973,8,51,26
